ObjectID,X,Y,School,City,GradeLevels
427,2058995.58963783,389993.27808733,COALMONT ELEMENTARY,Coalmont,"PK,K,1,2,3,4,5,6,7,8"
428,2797118.53373483,604904.91420051,COCKE CO ADULT HIGH SCHOOL,Newport,"9,10,11,12"
429,2797832.93997702,605161.10305818,COCKE CO HIGH SCHOOL,Newport,"9,10,11,12"
430,1719042.33956966,664749.13352761,COCKRILL ELEMENTARY,Nashville,"PK,K,1,2,3,4,5"
431,1939669.96693806,405712.66958265,COFFEE COUNTY CENTRAL HIGH SCHOOL,Manchester,"9,10,11,12"
432,1944865.77399416,416601.88118185,COFFEE COUNTY KOSS CENTER,Manchester,"7,8,9,10,11,12"
433,1947013.74490772,421862.88269434,COFFEE COUNTY MIDDLE SCHOOL,Manchester,"6,7,8"
434,1719110.09042962,662686.84792866,COHN ADULT HIGH SCHOOL,Nashville,"9,10,11,12"
435,1719110.09042962,662686.84792866,COHN ALTERNATIVE LEARNING CENTER,Nashville,"9,10,11,12"
436,2477658.48804411,340936.512968,COKER CREEK ELEMENTARY,Tellico Plains,"K,1,2,3,4,5,6,7,8"
437,1761939.91540313,628721.96613496,COLE ELEMENTARY,Antioch,"K,1,2,3,4,P3,P4"
438,796574.36085297,343720.40741309,COLEMAN ELEMENTARY,Memphis,"PK,K,1,2,3,4,5"
439,1881355.18148101,686133.37930121,COLES FERRY ELEMENTARY,Lebanon,"PK,K,1,2,3,4,N"
440,1766792.50337434,531095.07599367,COLLEGE GROVE ELEMENTARY,College Grove,"PK,K,1,2,3,4,5"
441,1944031.4159562,417181.79758709,COLLEGE STREET ELEMENTARY,Manchester,"PK,K,1,2,3,4,5,6"
442,2253826.11395083,260140.654649,COLLEGEDALE S D A ACADEMY,Collegedale,"9,10,11,12"
443,871015.22191088,286931.38933971,COLLIERVILLE ELEMENTARY,Collierville,"K,1,2,3,4,5"
444,863965.1123688,267753.73815492,COLLIERVILLE HIGH SCHOOL,Collierville,"9,10,11,12"
445,870740.29800394,279401.97721514,COLLIERVILLE MIDDLE SCHOOL,Collierville,"6,7,8"
446,1448644.07113376,312278.88145149,COLLINWOOD ELEMENTARY,Collinwood,"PK,K,1,2,3,4"
447,1448779.56462554,311564.76331118,COLLINWOOD HIGH SCHOOL,Collinwood,"9,10,11,12"
448,1448792.10736691,311376.75156718,COLLINWOOD MIDDLE SCHOOL,Collinwood,"5,6,7,8"
449,2996917.93220116,798608.83442308,COLONIAL HEIGHTS MIDDLE,Kingsport,"6,7,8"
450,801252.20269797,299843.8827208,COLONIAL MIDDLE SCHOOL,Memphis,"6,7,8"
451,1653362.02780794,467690.79794685,COLUMBIA ACADEMY,Columbia,"K,1,2,3,4,5,6,7,8,9,10,11,12"
452,1647473.48282653,468308.02243419,COLUMBIA CENTRAL HIGH SCHOOL,Columbia,"9,10,11,12"
453,1669249.97416472,457005.73509018,COLUMBIA CHRISTIAN ACADEMY,Columbia,"K,1,2,3,4,5,6,7,8,9,10,11,12"
454,2463533.37366934,622250.44256709,COMMUNITY BAPTIST ACADEMY OF GRACE  KNOWLEDGE,Oliver Springs,"K,1,2,3,4,5,6,7,8,9,10,11,12"
455,1812374.95639636,732151.63788571,COMMUNITY CHRISTIAN ACADEMY,Gallatin,"PS,K"
456,1795020.72238796,466491.88958067,COMMUNITY ELEMENTARY,Unionville,"K,1,2,3,4,5,P4"
457,1798862.30504826,464576.8067995,COMMUNITY HIGH SCHOOL,Unionville,"9,10,11,12"
458,1795950.84663235,466008.05688975,COMMUNITY MIDDLE SCHOOL,Unionville,"6,7,8"
459,831507.99861902,277560.89638327,COMPASS ACADEMY - SHELBY CO.,Memphis,"1,2,3,4,5,6,7,8,9,10,11,12"
460,803436.59046749,313451.90528454,CONCORD ACADEMY,Memphis,"6,7,8,9,10,11,12"
461,2510588.6459131,566892.91599587,CONCORD CHRISTIAN SCHOOL,Knoxville,"K,1,2,3,4,5,6,7,8,9"
462,2130473.70875327,683003.33812142,COOKEVILLE CHRISTIAN ELEMENTARY SCHOOL,Algood,"K,1,2,3,4,5,6,7,8"
463,2118324.67156453,677010.54934459,COOKEVILLE HIGH SCHOOL,Cookeville,"9,10,11,12,P3,P4"
464,1682720.95792461,767315.5214018,COOPERTOWN ELEMENTARY,Springfield,"K,1,2,3"
465,1683949.52415432,768666.31329036,COOPERTOWN MIDDLE SCHOOL,Springfield,"4,5,6,7,8"
466,2451181.22042238,254835.69882737,COPPER BASIN ELEMENTARY SCHOOL,Copperhill,"PK,K,1,2,3,4,5,6"
467,2451231.24511996,254841.87495002,COPPER BASIN HIGH SCHOOL,Copperhill,"7,8,9,10,11,12"
468,2560750.99631222,649112.67689315,COPPER RIDGE ELEMENTARY,Powell,"K,1,2,3,4,5"
469,1751776.34504445,676357.44384502,CORA HOWE SCHOOL,Nashville,"K,1,2,3,4,5,6,7,8,9,10,11,12"
470,835940.80602634,327096.09324441,CORDOVA CHRISTIAN LEARNING CENTER,Cordova,"PK,K,1,2,3,4,5,6,7,8"
471,840668.92683838,304659.8099021,CORDOVA ELEMENTARY SCHOOL,Cordova,"K,1,2,3,4"
472,846609.85621167,336320.8962316,CORDOVA HIGH SCHOOL,Cordova,"9,10,11,12"
473,841316.82329068,318302.33381637,CORDOVA MIDDLE SCHOOL,Cordova,"5,6,7,8"
474,2774099.62884793,674727.038073,CORNERSTONE ACADEMY,Morristown,"K,1,2,3,4,5,6,7,8,9"
475,2074638.46609327,660989.33195269,CORNERSTONE MIDDLE,Baxter,"5,6,7,8"
476,788221.25284358,321290.90734826,CORNERSTONE PREPARATORY SCHOOL,Memphis,"K,1,2,3,4,5"
478,1718527.63287593,379389.17270723,CORNERSVILLE ELEMENTARY,Cornersville,"K,1,2,3,4,5,6"
479,1717810.59160665,373817.24299205,CORNERSVILLE SCHOOL,Cornersville,"7,8,9,10,11,12"
480,771844.12169935,349900.94604802,CORNING ELEMENTARY,Memphis,"PK,K,1,2,3,4,5,6"
481,736290.44160228,273751.76630004,CORO LAKE ELEMENTARY,Memphis,"PK,K,1,2,3,4,5,6"
482,767052.07007612,298023.98913164,CORRY MIDDLE SCHOOL,Memphis,"6,7,8"
